quadro,pergunta,variavel,id,condicao,tipo,mensagem
quadro01.json,Telefone Fixo,V01150101,personalizada,V01150000 == 2 && V01150101 == null && V01150102 == null,erro,Registre pelo menos um número de telefone (fixo ou celular)
quadro01.json,Qual email?,V01160101,email,V01160100 != 2,erro,O email fornecido não está no formato correto. Verifique com o produtor e acerte o e-mail.
quadro01.json,,V01180100,personalizada,V01180100 == 2 && V01180101 != 2 && V01180102 != 2 && V01180103 != 2,erro,Pelo menos uma opção deve ser preenchida.
quadro01.json,Área,V01170100,personalizada,V01170100 == 0 && V01170500 != 2,erro,Deve ser preenchida a área total do estabelecimento ou a opção produtor sem área. Verifique com o produtor e faça o acerto necessário.
quadro01.json,Área,V01170100,personalizada,VW01170300 > 10000,alerta,"Área total maior que 10.000 hectares. confirme com o produtor e faça o acerto, se necessário."
quadro02.json,,V02010000,personalizada,V02010000 == 7,alerta,Confirme se a outra condição não é uma das listadas acima.
quadro02.json,,V05010100,personalizada,(V05010100 == 2) && (V02010000 == 1),alerta,"Estabelecimento possui """"cnpj"""" e a condição do produtor é """"individual"""". Confirme com o produtor essa informação e faça o acerto, se necessário"
quadro02.json,,V05010100,personalizada,(V02010000 == 3 || V02010000 == 4 || V02010000 == 5 || V02010000 == 6) && V05010100 == 1,alerta,CNPJ obrigatório para empresas.
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 == 4 && (V02010000 == 1 || V02010000 == 2),erro,Condição legal do produtor é produtor individual ou união de pessoas. O estabelecimento não pode ser dirigido por administrador. Verifique com o produtor e faça o acerto necessário.
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 == 2 && V02010000 != 2,erro,"Estabelecimento dirigido por casal, só permite que a condição legal seja um condomínio de pessoas. confirme com o informante e faça o acerto necessário"
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 == 5 && V02010000 == 1,erro,Condição legal do produtor é produtor individual e o estebelecimento é dirigido por vários produtores (exploração comunitária) verifique com o produtor e faça a correção necessária.
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 != 4 && V02010000 == 3,erro,Condição legal do produtor é Cooperativa e o estebelecimento não é dirigido por administrador. Verifique com o produtor e faça o acerto necessário.
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 != 4 && V02010000 == 4,erro,Condição legal do produtor é Sociedade anônima e o estebelecimento não é dirigido por administrador. Verifique com o produtor e faça o acerto necessário.
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 != 4 && V02010000 == 5,erro,Condição legal do produtor é Instituição de unidade público e o estebelecimento não é dirigido por administrador. Verifique com o produtor e faça o acerto necessário.
quadro02.json,Quem dirige o estabelecimento?,V02020000,personalizada,V02020000 != 4 && V02010000 == 6,erro,Condição legal do produtor é Governo e o estebelecimento não é dirigido por administrador. Verifique com o produtor e faça o acerto necessário.
quadro02.json,Qual idade do administrador,V02020402,personalizada,V02020402 < 14 || V02020402 > 110,erro,Idade do administrador fora dos parâmetros aceitáveis. corrija
quadro02.json,,V02200000,personalizada,V02200000 > 110 || V02200000 < 14,erro,Idade do produtor fora dos parâmetros aceitáveis. Reveja e corrija.
quadro02.json,,V02220000,personalizada,V02220000 > 04 && V02210000 == 1,erro,Produtor não sabe ler e escrever. Pergunte novamente o nível de escolaridade.
quadro02.json,,V02220000,personalizada,V02220000 > 07 && V02200000 < 13,erro,Confirmar escolaridade e a idade
quadro02.json,,V02220000,personalizada,V02220000 > 11 && V02200000 < 18,erro,Confirmar escolaridade e a idade
quadro02.json,,V02200001,personalizada,V02200001 > 110 || V02200001 < 14,erro,Idade do conjuge fora dos parâmetros aceitáveis. Reveja e corrija.
quadro02.json,,V02220001,personalizada,V02220001 > 04 && V02210001 == 1,erro,Conjuge não sabe ler e escrever. Pergunte novamente o nível de escolaridade.
quadro02.json,,V02220001,personalizada,V02220001 > 07 && V02200001 < 13,erro,Confirmar escolaridade e a idade
quadro02.json,,V02220001,personalizada,V02220001 > 11 && V02200001 < 18,erro,Confirmar escolaridade e a idade
quadro02.json,Telefone Celular (ddd),V02050102,personalizada,V02050000 == 2 && V02050101 == null && V02050102 == null,erro,Registre pelo menos um número de telefone (fixo ou celular)
quadro02.json,,V02090000,personalizada,V02020000 == 4 && V02090000 == 1,erro,Estabelecimento dirigido por administrador não deve aceitar finalidade de consumo próprio.
quadro03.json,Diferença:,VX03100000,personalizada,VX03100000 != 0,erro,"Distribuição das terras do estabelecimento, diferente da área total. Confirme cada parcela com o produtor e faça o acerto para que o campo diferença fique zerado."
quadro04.json,Possui Áreas de Lavoura,V04020001,personalizada,V04020001 != 2 && V04050001 != 2 && V04080001 != 2 && V04120000 > 0,alerta,Confirme com o produtor se não existe outro uso da terra.
quadro04.json,Possui Áreas de Lavoura,V04020001,personalizada,V04020001 != 2 && V04050001 != 2 && V04080001 != 2 && V04120000 == 0,erro,Pelo menos uma opção deve ser preenchida.
quadro04.json,Possui Áreas de Lavoura,V04020001,personalizada,V04020001 == 2 && V04020000 == 0 && V04030000 == 0 && V04040000 == 0,erro,O estabelecimento possui áreas de lavoura mas nenhuma área de lavoura foi preenchida verifique com o produtor e faça o acerto necessário.
quadro04.json,Possui Áreas de Pastagens,V04050001,personalizada,V04050001 == 2 && V04050000 == 0 && V04060000 == 0 && V04070000 == 0,erro,O estabelecimento possui áreas de pastagens mas nenhuma área de pastagem foi preenchida verifique com o produtor e faça o acerto necessário.
quadro04.json,Possui Áreas de Matas,V04080001,personalizada,V04080001 == 2 && V04080000 == 0 && V04090000 == 0 && V04100000 == 0 && V04110000 == 0,erro,O estabelecimento possui áreas de matas mas nenhuma área de mata foi preenchida verifique com o produtor e faça o acerto necessário.
quadro04.json,Diferença:,VX04170000,personalizada,VX04170000 != 0,erro,"Utilização das terras do estabelecimento, diferente da área total. Verifique cada parcela com o produtor e faça o acerto para que o campo diferença fique zerado."
quadro04.json,Compra de particular,V02180100,personalizada,V02180100 != 2 && V02180200 != 2 && V02180300 != 2 && V02180400 != 2 && V02180500 != 2 && V02180600 != 2 && V02180700 != 2 && V02180800 != 2 && V02181000 != 2 && V02181100 != 2 && V02181200 != 2,erro,Pergunta deve ser respondida.
quadro04.json,Compra via crédito fundiário,V02180200,personalizada,V02180200 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro04.json,Posse não titulada,V02180300,personalizada,V02180300 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro04.json,Reforma agrária,V02180500,personalizada,V02180500 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro04.json,Regularização na Amazônia Legal,V02180400,personalizada,V02180400 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro04.json,Licença de ocupação,V02180700,personalizada,V02180700 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro04.json,Comunidade Quilombola,V02180600,personalizada,V02180600 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro04.json,Concessão de terras indígenas,V02181200,personalizada,V02181200 == 2 && VW01170300 > 1000,erro,Área total do estabelecimento incompatível com a forma de obtenção das terras. confirme com o produtor a área total declarada e a forma de obtenção das terras e faça o acerto necessário.
quadro05.json,Quais?,V05030100,personalizada,V05020100 == 2 && V05020300 != 2 && V05020400 != 2 && V05020500 != 2 && V05020600 != 2,erro,Pelo menos uma opção deve ser preenchida.
quadro05.json,"Governo (federal, estadual ou municipal)",V05120100,personalizada,V05120100 != 2 && V05120200 != 2 && V05120300 != 2 && V05120400 != 2 && V05120500 != 2 && V05120600 != 2 && V05120700 != 2 && V05120800 != 2,erro,O preenchimento é obrigatório.
quadro05.json,Televisão,V05400100,personalizada,V05400100 != 2 && V05140200 != 2 && V05400300 != 2 && V05400400 != 2 && V05400500 != 2 && V05400600 != 2 && V05400700 != 2 && V05400800 != 2,erro,O preenchimento é obrigatório.
quadro05.json,Plantio em curvas de nível,V05130100,personalizada,V05130100 != 2 && V05130300 != 2 && V05130500 != 2 && V05130700 != 2 && V05130900 != 2 && V05131000 != 2 && V05131100 != 2 && V05131700 != 2 && V05131900 != 2 && V05132000 != 2,erro,O preenchimento é obrigatório.
quadro05.json,Cultivo convencional (aração mais gradagem) ou gradagem profunda,V05270101,personalizada,V05270101 != 2 && V05270102 != 2 && V05270103 != 2 && V05270100 != 1,erro,Houve sistema de preparo do solo e não foi marcado nenhum tipo de sistema. Confirme com o produtor e faça o acerto se necessário.
quadro05.json,Qual a área de plantio direto [getValorDeExibicao(V01170200)]?,V05270104,personalizada,(V05270103 == 2) && (VW05270104 > (VW01170300 * 1.5)),alerta,"Área de plantio direto maior que a área total do estabelecimento, confirme esta área com o produtor e corrija se necessário"
quadro05.json,Não,V05310100,personalizada,V05310100 != 1 && V05310102 != 2 && V05310103 != 2 && V05310104 != 2 && V05310105 != 2,erro,Preenchimento obrigatório.
quadro05.json,Unidade de medida:,V01170200,personalizada,VW05340112 > VW01170300,alerta,"Total de área irrigada maior que o total da área do estabelecimento. Confirme com o produtor as áreas declaradas em cada método e faça o acerto, se necessário"
quadro05.json,"Sistema de irrigação por superfície (inundação, sulcos, corrugação, faixa)",V05340001,personalizada,V05340001 != 2 && V05340002 != 2 && V05340003 != 2 && V05340004 != 2,erro,Preenchimento de pelo menos uma opção é obrigatório.
quadro05.json,Inundação,V05340101,personalizada,V05340101 == 0 && V05340102 == 0 && V05340103 == 0,erro,Preenchimento obrigatório.
quadro05.json,Autopropelido / carretel enrolador,V05340104,personalizada,V05340104 == 0 && V05340105 == 0 && V05340106 == 0,erro,Preenchimento obrigatório.
quadro05.json,Pivô central,V05340105,personalizada,V05030100 == 1 && V05340105 > 0,alerta,Irrigação por pivô central sem utilização de energia elétrica. Confirme com o produtor e faça o acerto no quadro correspondente
quadro05.json,Gotejamento,V05340107,personalizada,V05340107 == 0 && V05340108 == 0 && V05340109 == 0,erro,Preenchimento obrigatório.
quadro05.json,Subsuperficial,V05340110,personalizada,V05340110 == 0 && V05340111 == 0,erro,Preenchimento obrigatório.
quadro05.json,"Molhação(com mangueiras, baldes, regadores, etc.)",V05340111,personalizada,(VW05340112 > 500),alerta,"Total de área irrigada maior que 500 hectares. Confirme com o produtor as áreas declaradas em cada método e faça o acerto, se necessário"
quadro06.json,Número de armazéns convencionais e estruturais,V06030101,personalizada,V06030101 == 0 && V06040300 == 0 && V06040500 == 0 && V06040700 == 0,erro,Pelo menos uma opção de tipos de depósitos deve ser preenchida.
quadro06.json,Número de armazéns convencionais e estruturais,V06030101,personalizada,V06030101 > 10,alerta,"Total de armazéns convencionais e estruturais acima do esperado. Confirme com o produtor e faça o acerto, se necessário"
quadro06.json,Capacidade de armazéns convencionais e estruturais (kg),V06030102,personalizada,V06030101 > 0 && V06030102 > 0 && (V06030102 / V06030101) < 500,alerta,"Capacidade média dos armazéns convencionais e estruturais menor que 500 kg. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de armazéns convencionais e estruturais (kg),V06030102,personalizada,V06030101 > 0 && V06030102 > 0 && (V06030102 / V06030101) > 10000000,alerta,"Capacidade média dos armazéns convencionais e estruturais maior que 10.000.000 de quilos. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Número de infláveis,V06040300,personalizada,V06040300 > 10,alerta,"Total de armazéns infláveis acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de infláveis (kg),V06040400,personalizada,V06040300 > 0 && V06040400 > 0 && (V06040400 / V06040300) < 500,alerta,"Capacidade média dos infláveis menor que 500 kg. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de infláveis (kg),V06040400,personalizada,V06040300 > 0 && V06040400 > 0 && (V06040400 / V06040300) > 10000000,alerta,"Capacidade média dos infláveis maior que 10.000.000 de quilos. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Número de armazéns graneleiros e granelizados,V06040500,personalizada,V06040500 > 10,alerta,"Total de armezéns graneleiros e granelizados acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de armazéns graneleiros e granelizados (kg),V06040600,personalizada,V06040500 > 0 && V06040600 > 0 && (V06040600 / V06040500) < 500,alerta,"Capacidade média dos armazéns graneleiros e granelizados menor que 500 kg. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de armazéns graneleiros e granelizados (kg),V06040600,personalizada,V06040500 > 0 && V06040600 > 0 && (V06040600 / V06040500) > 10000000,alerta,"Capacidade média dos armazéns graneleiros e granelizados maior que 10.000.000 de quilos. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Número de Silos,V06040700,personalizada,V06040700 > 10,alerta,"Total de silos de grãos acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de Silos (kg),V06040800,personalizada,V06040700 > 0 && V06040800 > 0 && (V06040800 / V06040700) < 500,alerta,"Capacidade média dos Silos menor que 500 kg. Confirme com o produtor e faça o acerto, se necessário."
quadro06.json,Capacidade de Silos (kg),V06040800,personalizada,V06040700 > 0 && V06040800 > 0 && (V06040800 / V06040700) > 10000000,alerta,"Capacidade média dos Silos maior que 10.000.000 de quilos. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de total de tratores,V07020101,personalizada,V07020101 == 0 && V07020102 == 0 && V07020501 == 0 && V07020601 == 0 && V07020801 == 0 && V07020100 != 1,erro,"Preencha o número de tratores, implementos, máquinas ou a opção não houve"
quadro07.json,Número de total de tratores,V07020101,personalizada,V07020101 > 10,alerta,"Número de tratores acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de tratores com mais de 100cv,V07020102,personalizada,V07020102 > V07020101,erro,Número de tratores com mais de 100cv maior que o total de tratores.
quadro07.json,Número de semeadeiras ou plantadeiras:,V07020501,personalizada,V07020501 > 10,alerta,"Número de semeadeiras ou plantadeiras acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de colheitadeiras:,V07020601,personalizada,V07020601 > 10,alerta,"Número de colheitadeiras acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de adubadeiras ou distribuidoras de calcário:,V07020801,personalizada,V07020801 > 20,alerta,"Número de adubadeiras ou distribuidoras de calcário acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de caminhões,V07021101,personalizada,V07021101 == 0 && V07021201 == 0 && V07021301 == 0 && V07021501 == 0 && V07021601 == 0 && V07021100 != 1,erro,Preencha o número de veiculos ou a opção não houve veiculos
quadro07.json,Número de caminhões,V07021101,personalizada,V07020100 == 1 && V07021100 == 1,erro,"No quesito 1 foi informado que existe tratores ou veículos no estabelecimento, mas foram marcado as opções não houve trator e não houve veículos."
quadro07.json,Número de caminhões,V07021101,personalizada,V07021101 > 20,alerta,"Número de caminhões acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de  utilitários,V07021201,personalizada,V07021201 > 20,alerta,"Número de utilitários acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de automóveis:,V07021301,personalizada,V07021301 > 20,alerta,"Número de automóveis acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de motocicletas,V07021501,personalizada,V07021501 > 20,alerta,"Número de motocicletas acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro07.json,Número de aviões e aeronaves para uso agrícola,V07021601,personalizada,V07021601 > 5,alerta,"Número de aviões de uso agrícola acima do esperado. Confirme com o produtor e faça o acerto, se necessário."
quadro08.json,Menos de 90 dias,V09000001,personalizada,(V09000001 + V09000002 + V09000003 == 0) && (V02010000 == 1 || V02010000 == 2),erro,O preenchimento do quesito é obrigatório
quadro08.json,Menos de 90 dias,V09000001,personalizada,V09000001 > 50,alerta,Solicite a confirmação do número de trabalhadores com laços de parentesco com menos de 90 dias
quadro08.json,De 90 a menos de 180 dias,V09000002,personalizada,V09000002 > 50,alerta,Solicite a confirmação do número de trabalhadores com laços de parentesco De 90 a menos de 180 dias
quadro08.json,De 180 dias e mais,V09000003,personalizada,V09000003 > 50,alerta,Solicite a confirmação do número de trabalhadores com laços de parentesco De 180 dias e mais
quadro08.json,Menos de 90 dias,V09010101,personalizada,V09010101 + V09010102 + V09010103 == 0 && V02020000 == 4,erro,"Deve haver pelo menos o administrador, verifique com o produtor e faça o acerto necessário"
quadro08.json,Menos de 90 dias,V09010101,personalizada,V09010101 > 50,alerta,Solicite a confirmação do número de trabalhadores permanentes com menos de 90 dias
quadro08.json,De 90 a menos de 180 dias,V09010102,personalizada,V09010102 > 50,alerta,Solicite a confirmação do número de trabalhadores permanentes De 90 a menos de 180 dias
quadro08.json,De 180 dias e mais,V09010103,personalizada,V09010103 > 50,alerta,Solicite a confirmação do número de trabalhadores permanentes De 180 dias e mais
quadro08.json,De 180 dias e mais,V09010103,personalizada,(V09010101 + V09010102 + V09010103) == 0 && V02020000 != 4 && V09010100 != 1,erro,O preenchimento do quesito é obrigatório.
quadro08.json,Menos de 90 dias,V09020201,personalizada,V09020201 + V09020202 + V09020203 == 0 && V09010200 != 1,erro,O preenchimento do quesito é obrigatório
quadro08.json,Menos de 90 dias,V09020201,personalizada,V09020201 > 50,alerta,Solicite a confirmação do número de trabalhadores temporários ou parceiros sem laços de parentesco com menos de 90 dias
quadro08.json,De 90 a menos de 180 dias,V09020202,personalizada,V09010102 > 50,alerta,Solicite a confirmação do número de trabalhadores temporários ou parceiros sem laços de parentesco De 90 a menos de 180 dias
quadro08.json,De 180 dias e mais,V09020203,personalizada,V09020203 > 50,alerta,Solicite a confirmação do número de trabalhadores temporários ou parceiros sem laços de parentesco De 180 dias e mais
quadro08.json,Contratação feita através de Empreiteiro (pessoa física),V12010101,personalizada,V12010101 != 2 && V12010102 != 2 && V12010103 != 2 && V12010104 != 2 && V12010000 == 2,erro,Os meios de contratação devem ser preenchidos
quadro08.json,Quantos dias utilizou na empreitada?,V12030100,personalizada,V12030100 > 365,erro,Dias de empreitada superior aos dias de um ano
quadro09.json,Homens de 14 anos ou mais,V08010101,personalizada,V08010101 + V08010102 + V08010201 + V08010202 == 0  && (V02010000 == 1 || V02010000 == 2),erro,Pelo menos o produtor deve ser contabilizado
quadro09.json,Homens de 14 anos ou mais,V08010101,personalizada,(V08010101 + V08010102 + V08010201 + V08010202)  > VW09000000,erro,"Número de pessoas com laços de parentesco em 30/09/2017 não pode ser maior do que o número de  pessoas com laços de parentesco no período de 01/10/2016 a 30/09/2017. (Quadro 8, quesito 1). Confirme com o produtor e corrija."
quadro09.json,Homens de 14 anos ou mais,V10010101,personalizada,(V10010101 + V10010102 + V10010201 + V10010202) == 0 && V10010100 != 1,erro,Deve haver pelo menos um trabalhador permanente ou ser marcada a opção de que não houve trabalhadores permanentes.
quadro09.json,Homens de 14 anos ou mais,V10010101,personalizada,V10010101 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Homens com menos de 14 anos,V10010102,personalizada,V10010102 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres de 14 anos ou mais,V10010201,personalizada,V10010201 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres com menos de 14 anos,V10010202,personalizada,V10010202 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres com menos de 14 anos,V10010202,personalizada,VW10010003 > VW09000001,erro,"Número de trabalhadores permanentes em 30/09/2017 não pode ser maior do que o número de trabalhadores permanentes no período de 01/10/2016 a 30/09/2017. (Quadro 8, quesito 2). Confirme com o produtor e corrija."
quadro09.json,Homens de 14 anos ou mais,V10020101,personalizada,(V10020101 + V10020102 + V10020201 + V10020202) == 0 && V10020100 != 1,erro,Deve haver pelo menos um trabalhador temporário ou ser marcada a opção de que não houve trabalhadores temporários.
quadro09.json,Homens de 14 anos ou mais,V10020101,personalizada,V10020101 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Homens com menos de 14 anos,V10020102,personalizada,V10020102 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres de 14 anos ou mais,V10020201,personalizada,V10020201 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres com menos de 14 anos,V10020202,personalizada,V10020202 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres com menos de 14 anos,V10020202,personalizada,VW10020003 > VW09000002,erro,"Número de trabalhadores temporários em 30/09/2017 não pode ser maior do que o número de trabalhadores temporários no período de 01/10/2016 a 30/09/2017. (Quadro 8, quesito 3). Confirme com o produtor e corrija."
quadro09.json,Homens de 14 anos ou mais,V10030101,personalizada,(V10030101 + V10030102 + V10030201 + V10030202) == 0 && V10030100 != 1,erro,Deve haver pelo menos um trabalhador parceiro ou ser marcada a opção de que não houve trabalhadores parceiros.
quadro09.json,Homens de 14 anos ou mais,V10030101,personalizada,V10030101 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Homens com menos de 14 anos,V10030102,personalizada,V10030102 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres de 14 anos ou mais,V10030201,personalizada,V10030201 > 50,alerta,Confirmar o total de trabalhadores.
quadro09.json,Mulheres com menos de 14 anos,V10030202,personalizada,V10030202 > 50,alerta,Confirmar o total de trabalhadores.
quadro10.json,Criação de bovinos,V13011400,personalizada,V13011400 != 2 && V13011500 != 2 && V13011600 != 2 && V13011700 != 2 && V13011800 != 2 && V13011900 != 2 && V13012000 != 2 && V13012100 != 2 && V13012200 != 2 && V13012400 != 2 && V13012500 != 2 && V13012700 != 2 && V13012800 != 2 && V13012900 != 2 && V13013000 != 2 && V13013100 != 2 && V13013200 != 2 && V13010000 != 1,erro,Preencha os campos ou marque a opção 'não houve criação de animais'
quadro10.json,Não,V13080000,personalizada,V13080000 != 2 && V13080101 != 2 && V13080102 != 2 && V13080103 != 2,erro,Pelo menos uma opção deve ser preenchida
quadro11.json,Qual era o total de bovinos em 30/09/2017?,V14010101,personalizada,(V14010101 > 50 && (VW14060000 > 3 || VW14060000 < 0.2)) || V14010101 > 20000,alerta,Número de bovinos maior que o esperado ou relação de bovinos por área de pastagem em hectare diferente do esperado. Confirme com o produtor o total de bovinos e a área de pastagem.
quadro11.json,Vacas reprodutoras,V14090302,personalizada,V14090302 > V14010101,erro,Número de vacas não pode ser maior que o efetivo de bovinos.
quadro11.json,"Sim, em outro estabelecimento",V14040103,personalizada,V14040000 == 1 && V14040101 == 1 && V14040103 == 1,erro,Preencha pelo menos um dos campos.
